lead_sponsor,2006_overdue,2006_total,2007_overdue,2007_total,2008_overdue,2008_total,2009_overdue,2009_total,2010_overdue,2010_total,2011_overdue,2011_total,2012_overdue,2012_total,2013_overdue,2013_total,2014_overdue,2014_total,lead_sponsor_slug
Montefiore Medical Center,2.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,montefiore-medical-center
NCIC Clinical Trials Group,6.0,7.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,7.0,5.0,7.0,2.0,3.0,0.0,3.0,4.0,5.0,ncic-clinical-trials-group
Nanjing Medical University,,,5.0,6.0,3.0,3.0,12.0,12.0,1.0,1.0,6.0,6.0,4.0,5.0,,,1.0,2.0,nanjing-medical-university
Nantes University Hospital,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,7.0,9.0,11.0,6.0,6.0,nantes-university-hospital
National Cancer Institute (NCI),57.0,66.0,101.0,116.0,2.0,41.0,5.0,62.0,4.0,82.0,4.0,57.0,9.0,55.0,8.0,45.0,4.0,34.0,national-cancer-institute-nci
"National Heart, Lung, and Blood Institute (NHLBI)",6.0,9.0,6.0,14.0,4.0,16.0,3.0,10.0,1.0,4.0,0.0,1.0,3.0,5.0,1.0,5.0,2.0,4.0,national-heart-lung-and-blood-institute-nhlbi
National Institute of Allergy and Infectious Diseases (NIAID),8.0,14.0,11.0,23.0,5.0,24.0,4.0,17.0,1.0,24.0,2.0,13.0,2.0,13.0,4.0,14.0,1.0,10.0,national-institute-of-allergy-and-infectious-diseases-niaid
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),2.0,6.0,6.0,12.0,4.0,16.0,4.0,15.0,3.0,11.0,2.0,8.0,4.0,10.0,1.0,6.0,0.0,3.0,national-institute-of-diabetes-and-digestive-and-kidney-diseases-niddk
National Institute on Aging (NIA),4.0,7.0,8.0,18.0,3.0,5.0,1.0,3.0,,,,,,,0.0,1.0,,,national-institute-on-aging-nia
National Institute on Drug Abuse (NIDA),13.0,14.0,8.0,10.0,2.0,4.0,1.0,1.0,,,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,national-institute-on-drug-abuse-nida
National Taiwan University Hospital,9.0,10.0,4.0,7.0,12.0,15.0,15.0,21.0,15.0,18.0,16.0,16.0,15.0,20.0,10.0,14.0,4.0,5.0,national-taiwan-university-hospital
